ts_recv_utc,bid,ask,spread,msg_seq
2026-09-11T17:28:39.674+00:00,153.694,153.697,0.003,4
2026-09-11T17:28:40.247+00:00,153.695,153.696,0.001,4
2026-09-11T17:28:40.446+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:40.648+00:00,153.694,153.695,0.001,4
2026-09-11T17:28:41.250+00:00,153.694,153.697,0.003,4
2026-09-11T17:28:42.149+00:00,153.695,153.698,0.003,4
2026-09-11T17:28:42.350+00:00,153.694,153.697,0.003,4
2026-09-11T17:28:42.549+00:00,153.695,153.696,0.001,4
2026-09-11T17:28:42.954+00:00,153.696,153.697,0.001,4
2026-09-11T17:28:43.152+00:00,153.695,153.696,0.001,4
2026-09-11T17:28:43.480+00:00,153.696,153.697,0.001,4
2026-09-11T17:28:44.396+00:00,153.695,153.696,0.001,4
2026-09-11T17:28:44.598+00:00,153.693,153.696,0.003,4
2026-09-11T17:28:45.441+00:00,153.694,153.695,0.001,4
2026-09-11T17:28:45.641+00:00,153.693,153.696,0.003,4
2026-09-11T17:28:46.043+00:00,153.694,153.695,0.001,4
2026-09-11T17:28:46.245+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:46.646+00:00,153.694,153.695,0.001,4
2026-09-11T17:28:46.848+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:47.968+00:00,153.694,153.695,0.001,4
2026-09-11T17:28:48.169+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:48.546+00:00,153.694,153.694,0.0,4
2026-09-11T17:28:48.749+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:48.948+00:00,153.694,153.695,0.001,4
2026-09-11T17:28:49.348+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:49.548+00:00,153.692,153.693,0.001,4
2026-09-11T17:28:49.751+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:49.951+00:00,153.692,153.693,0.001,4
2026-09-11T17:28:50.152+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:50.352+00:00,153.694,153.695,0.001,4
2026-09-11T17:28:50.552+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:50.758+00:00,153.694,153.694,0.0,4
2026-09-11T17:28:50.953+00:00,153.692,153.693,0.001,4
2026-09-11T17:28:51.155+00:00,153.691,153.692,0.001,4
2026-09-11T17:28:51.556+00:00,153.692,153.693,0.001,4
2026-09-11T17:28:51.758+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:51.957+00:00,153.692,153.693,0.001,4
2026-09-11T17:28:52.358+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:52.557+00:00,153.694,153.695,0.001,4
2026-09-11T17:28:52.963+00:00,153.694,153.694,0.0,4
2026-09-11T17:28:53.398+00:00,153.694,153.695,0.001,4
2026-09-11T17:28:54.004+00:00,153.695,153.696,0.001,4
2026-09-11T17:28:54.205+00:00,153.694,153.697,0.003,4
2026-09-11T17:28:54.806+00:00,153.694,153.695,0.001,4
2026-09-11T17:28:55.208+00:00,153.693,153.696,0.003,4
2026-09-11T17:28:55.410+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:55.810+00:00,153.692,153.695,0.003,4
2026-09-11T17:28:56.010+00:00,153.695,153.696,0.001,4
2026-09-11T17:28:56.216+00:00,153.692,153.695,0.003,4
2026-09-11T17:28:56.416+00:00,153.694,153.696,0.002,4
2026-09-11T17:28:56.618+00:00,153.696,153.699,0.003,4
2026-09-11T17:28:56.818+00:00,153.696,153.697,0.001,4
2026-09-11T17:28:57.018+00:00,153.697,153.7,0.003,4
2026-09-11T17:28:57.647+00:00,153.695,153.697,0.002,4
2026-09-11T17:28:57.845+00:00,153.695,153.698,0.003,4
2026-09-11T17:28:58.052+00:00,153.696,153.699,0.003,4
2026-09-11T17:28:58.247+00:00,153.695,153.696,0.001,4
2026-09-11T17:28:58.649+00:00,153.694,153.695,0.001,4
2026-09-11T17:28:59.258+00:00,153.693,153.694,0.001,4
2026-09-11T17:28:59.459+00:00,153.691,153.694,0.003,4
2026-09-11T17:28:59.656+00:00,153.69,153.694,0.004,4
2026-09-11T17:29:00.059+00:00,153.691,153.694,0.003,4
2026-09-11T17:29:00.258+00:00,153.693,153.694,0.001,4
2026-09-11T17:29:00.460+00:00,153.691,153.694,0.003,4
2026-09-11T17:29:00.664+00:00,153.692,153.693,0.001,4
2026-09-11T17:29:00.872+00:00,153.694,153.694,0.0,4
2026-09-11T17:29:01.067+00:00,153.693,153.694,0.001,4
2026-09-11T17:29:01.469+00:00,153.692,153.695,0.003,4
2026-09-11T17:29:01.670+00:00,153.691,153.694,0.003,4
2026-09-11T17:29:01.871+00:00,153.693,153.696,0.003,4
2026-09-11T17:29:02.073+00:00,153.692,153.695,0.003,4
2026-09-11T17:29:02.273+00:00,153.693,153.696,0.003,4
2026-09-11T17:29:02.473+00:00,153.692,153.695,0.003,4
2026-09-11T17:29:02.874+00:00,153.691,153.694,0.003,4
2026-09-11T17:29:03.077+00:00,153.692,153.695,0.003,4
2026-09-11T17:29:04.352+00:00,153.69,153.693,0.003,4
2026-09-11T17:29:04.752+00:00,153.691,153.694,0.003,5
2026-09-11T17:29:06.657+00:00,153.692,153.695,0.003,5
2026-09-11T17:29:06.857+00:00,153.694,153.695,0.001,5
2026-09-11T17:29:07.059+00:00,153.694,153.696,0.002,5
2026-09-11T17:29:07.257+00:00,153.693,153.696,0.003,5
2026-09-11T17:29:07.664+00:00,153.694,153.695,0.001,5
2026-09-11T17:29:07.869+00:00,153.693,153.696,0.003,5
2026-09-11T17:29:08.981+00:00,153.694,153.695,0.001,5
2026-09-11T17:29:09.180+00:00,153.693,153.694,0.001,5
2026-09-11T17:29:09.990+00:00,153.694,153.695,0.001,5
2026-09-11T17:29:11.303+00:00,153.695,153.696,0.001,5
2026-09-11T17:29:11.499+00:00,153.694,153.695,0.001,5
2026-09-11T17:29:11.937+00:00,153.693,153.694,0.001,5
