ts_recv_utc,bid,ask,spread,msg_seq
2026-09-11T17:28:39.672+00:00,4367.07,4367.2,0.13,4
2026-09-11T17:28:39.724+00:00,4367.03,4367.15,0.12,4
2026-09-11T17:28:39.972+00:00,4366.91,4367.02,0.11,4
2026-09-11T17:28:40.425+00:00,4367.36,4367.48,0.12,4
2026-09-11T17:28:40.651+00:00,4367.4,4367.48,0.08,4
2026-09-11T17:28:40.874+00:00,4367.41,4367.49,0.08,4
2026-09-11T17:28:41.099+00:00,4367.4,4367.51,0.11,4
2026-09-11T17:28:41.325+00:00,4367.07,4367.19,0.12,4
2026-09-11T17:28:41.552+00:00,4367.13,4367.25,0.12,4
2026-09-11T17:28:41.774+00:00,4367.14,4367.23,0.09,4
2026-09-11T17:28:42.002+00:00,4367.11,4367.2,0.09,4
2026-09-11T17:28:42.226+00:00,4367.3,4367.4,0.1,4
2026-09-11T17:28:42.588+00:00,4367.08,4367.18,0.1,4
2026-09-11T17:28:42.811+00:00,4367.03,4367.14,0.11,4
2026-09-11T17:28:43.036+00:00,4367.08,4367.21,0.13,4
2026-09-11T17:28:43.412+00:00,4367.08,4367.2,0.12,4
2026-09-11T17:28:43.713+00:00,4367.07,4367.18,0.11,4
2026-09-11T17:28:43.938+00:00,4366.99,4367.08,0.09,4
2026-09-11T17:28:44.239+00:00,4367.08,4367.18,0.1,4
2026-09-11T17:28:44.464+00:00,4367.05,4367.17,0.12,4
2026-09-11T17:28:44.688+00:00,4367.26,4367.37,0.11,4
2026-09-11T17:28:44.913+00:00,4367.59,4367.69,0.1,4
2026-09-11T17:28:45.145+00:00,4367.56,4367.64,0.08,4
2026-09-11T17:28:45.364+00:00,4367.58,4367.66,0.08,4
2026-09-11T17:28:45.741+00:00,4367.67,4367.77,0.1,4
2026-09-11T17:28:45.966+00:00,4368.02,4368.13,0.11,4
2026-09-11T17:28:46.188+00:00,4367.92,4368.01,0.09,4
2026-09-11T17:28:46.414+00:00,4367.94,4368.03,0.09,4
2026-09-11T17:28:46.639+00:00,4367.96,4368.06,0.1,4
2026-09-11T17:28:46.864+00:00,4367.99,4368.09,0.1,4
2026-09-11T17:28:47.318+00:00,4367.76,4367.87,0.11,4
2026-09-11T17:28:47.543+00:00,4368.12,4368.22,0.1,4
2026-09-11T17:28:47.919+00:00,4367.82,4367.92,0.1,4
2026-09-11T17:28:48.367+00:00,4367.84,4367.94,0.1,4
2026-09-11T17:28:48.594+00:00,4367.68,4367.79,0.11,4
2026-09-11T17:28:48.819+00:00,4367.62,4367.72,0.1,4
2026-09-11T17:28:49.049+00:00,4367.65,4367.75,0.1,4
2026-09-11T17:28:49.269+00:00,4367.69,4367.8,0.11,4
2026-09-11T17:28:49.494+00:00,4367.73,4367.85,0.12,4
2026-09-11T17:28:49.740+00:00,4367.72,4367.83,0.11,4
2026-09-11T17:28:50.019+00:00,4367.72,4367.85,0.13,4
2026-09-11T17:28:50.244+00:00,4367.75,4367.87,0.12,4
2026-09-11T17:28:50.552+00:00,4367.71,4367.82,0.11,4
2026-09-11T17:28:50.791+00:00,4367.81,4367.93,0.12,4
2026-09-11T17:28:51.017+00:00,4368.04,4368.13,0.09,4
2026-09-11T17:28:51.257+00:00,4368.01,4368.1,0.09,4
2026-09-11T17:28:51.467+00:00,4367.99,4368.09,0.1,4
2026-09-11T17:28:51.692+00:00,4367.82,4367.93,0.11,4
2026-09-11T17:28:51.916+00:00,4367.8,4367.91,0.11,4
2026-09-11T17:28:52.140+00:00,4367.79,4367.91,0.12,4
2026-09-11T17:28:52.367+00:00,4367.78,4367.91,0.13,4
2026-09-11T17:28:52.743+00:00,4367.79,4367.92,0.13,4
2026-09-11T17:28:52.998+00:00,4367.81,4367.93,0.12,4
2026-09-11T17:28:53.221+00:00,4367.87,4367.99,0.12,4
2026-09-11T17:28:53.741+00:00,4367.86,4367.99,0.13,4
2026-09-11T17:28:53.990+00:00,4367.87,4367.99,0.12,4
2026-09-11T17:28:54.208+00:00,4367.95,4368.07,0.12,4
2026-09-11T17:28:54.432+00:00,4368.0,4368.11,0.11,4
2026-09-11T17:28:54.658+00:00,4368.26,4368.37,0.11,4
2026-09-11T17:28:54.882+00:00,4368.36,4368.48,0.12,4
2026-09-11T17:28:55.182+00:00,4368.25,4368.36,0.11,4
2026-09-11T17:28:55.407+00:00,4368.04,4368.14,0.1,4
2026-09-11T17:28:55.728+00:00,4367.77,4367.87,0.1,4
2026-09-11T17:28:55.952+00:00,4367.68,4367.79,0.11,4
2026-09-11T17:28:56.179+00:00,4367.65,4367.76,0.11,4
2026-09-11T17:28:56.406+00:00,4366.87,4366.99,0.12,4
2026-09-11T17:28:56.628+00:00,4366.62,4366.73,0.11,4
2026-09-11T17:28:56.854+00:00,4366.56,4366.66,0.1,4
2026-09-11T17:28:57.078+00:00,4366.59,4366.7,0.11,4
2026-09-11T17:28:57.308+00:00,4366.57,4366.69,0.12,4
2026-09-11T17:28:57.530+00:00,4366.61,4366.71,0.1,4
2026-09-11T17:28:57.741+00:00,4366.57,4366.67,0.1,4
2026-09-11T17:28:57.985+00:00,4366.47,4366.58,0.11,4
2026-09-11T17:28:58.207+00:00,4366.48,4366.6,0.12,4
2026-09-11T17:28:58.430+00:00,4366.44,4366.56,0.12,4
2026-09-11T17:28:58.655+00:00,4366.45,4366.55,0.1,4
2026-09-11T17:28:58.966+00:00,4366.46,4366.54,0.08,4
2026-09-11T17:28:59.271+00:00,4366.77,4366.85,0.08,4
2026-09-11T17:28:59.646+00:00,4366.83,4366.94,0.11,4
2026-09-11T17:29:00.097+00:00,4366.81,4366.94,0.13,4
2026-09-11T17:29:00.320+00:00,4366.8,4366.93,0.13,4
2026-09-11T17:29:00.851+00:00,4366.95,4367.08,0.13,4
2026-09-11T17:29:01.071+00:00,4366.92,4367.04,0.12,4
2026-09-11T17:29:01.296+00:00,4366.95,4367.07,0.12,4
2026-09-11T17:29:01.522+00:00,4366.69,4366.81,0.12,4
2026-09-11T17:29:01.740+00:00,4366.71,4366.84,0.13,4
2026-09-11T17:29:01.971+00:00,4366.56,4366.68,0.12,4
2026-09-11T17:29:02.198+00:00,4366.39,4366.49,0.1,4
2026-09-11T17:29:02.421+00:00,4366.39,4366.47,0.08,4
2026-09-11T17:29:02.646+00:00,4366.46,4366.55,0.09,4
2026-09-11T17:29:02.872+00:00,4366.64,4366.72,0.08,4
2026-09-11T17:29:03.097+00:00,4366.66,4366.76,0.1,4
2026-09-11T17:29:03.321+00:00,4366.7,4366.81,0.11,4
2026-09-11T17:29:03.547+00:00,4366.71,4366.84,0.13,4
2026-09-11T17:29:03.772+00:00,4366.75,4366.88,0.13,4
2026-09-11T17:29:04.074+00:00,4366.85,4366.96,0.11,4
2026-09-11T17:29:04.302+00:00,4367.02,4367.12,0.1,4
2026-09-11T17:29:04.525+00:00,4367.03,4367.14,0.11,4
2026-09-11T17:29:04.742+00:00,4367.04,4367.15,0.11,4
2026-09-11T17:29:05.050+00:00,4367.1,4367.21,0.11,5
2026-09-11T17:29:05.276+00:00,4366.98,4367.1,0.12,5
2026-09-11T17:29:05.727+00:00,4367.08,4367.21,0.13,5
2026-09-11T17:29:06.087+00:00,4367.0,4367.12,0.12,5
2026-09-11T17:29:06.311+00:00,4366.85,4366.96,0.11,5
2026-09-11T17:29:06.537+00:00,4366.65,4366.75,0.1,5
2026-09-11T17:29:06.739+00:00,4366.53,4366.63,0.1,5
2026-09-11T17:29:06.988+00:00,4366.14,4366.24,0.1,5
2026-09-11T17:29:07.211+00:00,4366.43,4366.53,0.1,5
