ts_recv_utc,bid,ask,spread,msg_seq
2026-09-11T17:22:50.427+00:00,153.685,153.688,0.003,4
2026-09-11T17:22:50.832+00:00,153.686,153.689,0.003,4
2026-09-11T17:22:51.432+00:00,153.687,153.69,0.003,4
2026-09-11T17:22:51.633+00:00,153.688,153.691,0.003,4
2026-09-11T17:22:51.833+00:00,153.687,153.69,0.003,4
2026-09-11T17:22:52.033+00:00,153.688,153.691,0.003,4
2026-09-11T17:22:52.437+00:00,153.686,153.688,0.002,4
2026-09-11T17:22:52.802+00:00,153.685,153.687,0.002,4
2026-09-11T17:22:53.002+00:00,153.685,153.688,0.003,4
2026-09-11T17:22:53.202+00:00,153.686,153.689,0.003,4
2026-09-11T17:22:53.405+00:00,153.687,153.69,0.003,4
2026-09-11T17:22:54.406+00:00,153.686,153.688,0.002,4
2026-09-11T17:22:54.607+00:00,153.687,153.69,0.003,4
2026-09-11T17:22:54.810+00:00,153.686,153.689,0.003,4
2026-09-11T17:22:55.210+00:00,153.685,153.688,0.003,4
2026-09-11T17:22:55.610+00:00,153.685,153.689,0.004,4
2026-09-11T17:22:56.011+00:00,153.685,153.688,0.003,4
2026-09-11T17:22:56.211+00:00,153.686,153.689,0.003,4
2026-09-11T17:22:56.616+00:00,153.684,153.686,0.002,4
2026-09-11T17:22:56.814+00:00,153.685,153.688,0.003,4
2026-09-11T17:22:57.017+00:00,153.687,153.69,0.003,4
2026-09-11T17:22:57.217+00:00,153.688,153.691,0.003,4
2026-09-11T17:22:57.620+00:00,153.687,153.69,0.003,4
2026-09-11T17:22:58.222+00:00,153.686,153.689,0.003,4
2026-09-11T17:22:58.427+00:00,153.685,153.688,0.003,4
2026-09-11T17:22:58.827+00:00,153.687,153.69,0.003,4
2026-09-11T17:22:59.301+00:00,153.688,153.689,0.001,4
2026-09-11T17:23:02.962+00:00,153.687,153.69,0.003,4
2026-09-11T17:23:04.615+00:00,153.689,153.692,0.003,4
2026-09-11T17:23:06.125+00:00,153.688,153.691,0.003,4
2026-09-11T17:23:06.326+00:00,153.688,153.693,0.005,4
2026-09-11T17:23:06.731+00:00,153.688,153.691,0.003,4
2026-09-11T17:23:07.132+00:00,153.689,153.692,0.003,4
2026-09-11T17:23:07.934+00:00,153.688,153.691,0.003,4
2026-09-11T17:23:12.250+00:00,153.689,153.692,0.003,4
2026-09-11T17:23:16.485+00:00,153.69,153.693,0.003,5
2026-09-11T17:23:16.741+00:00,153.691,153.694,0.003,5
2026-09-11T17:23:17.285+00:00,153.693,153.696,0.003,5
2026-09-11T17:23:17.487+00:00,153.694,153.697,0.003,5
2026-09-11T17:23:17.889+00:00,153.693,153.695,0.002,5
2026-09-11T17:23:18.095+00:00,153.694,153.697,0.003,5
2026-09-11T17:23:20.260+00:00,153.695,153.698,0.003,5
2026-09-11T17:23:20.740+00:00,153.696,153.699,0.003,5
2026-09-11T17:23:21.262+00:00,153.696,153.698,0.002,5
2026-09-11T17:23:21.460+00:00,153.697,153.7,0.003,5
2026-09-11T17:23:21.875+00:00,153.696,153.699,0.003,5
2026-09-11T17:23:22.071+00:00,153.698,153.699,0.001,5
2026-09-11T17:23:22.820+00:00,153.697,153.7,0.003,5
2026-09-11T17:23:23.020+00:00,153.696,153.699,0.003,5
2026-09-11T17:23:23.220+00:00,153.697,153.7,0.003,5
2026-09-11T17:23:24.740+00:00,153.696,153.699,0.003,5
2026-09-11T17:23:25.281+00:00,153.696,153.698,0.002,5
2026-09-11T17:23:25.480+00:00,153.697,153.7,0.003,5
2026-09-11T17:23:26.283+00:00,153.699,153.702,0.003,5
2026-09-11T17:23:26.485+00:00,153.698,153.701,0.003,5
2026-09-11T17:23:26.684+00:00,153.699,153.702,0.003,5
2026-09-11T17:23:27.462+00:00,153.698,153.701,0.003,5
2026-09-11T17:23:27.665+00:00,153.699,153.702,0.003,5
2026-09-11T17:23:28.765+00:00,153.698,153.701,0.003,5
2026-09-11T17:23:29.973+00:00,153.697,153.7,0.003,5
2026-09-11T17:23:31.716+00:00,153.696,153.699,0.003,5
2026-09-11T17:23:33.706+00:00,153.693,153.696,0.003,5
2026-09-11T17:23:33.907+00:00,153.688,153.691,0.003,5
2026-09-11T17:23:34.108+00:00,153.688,153.692,0.004,5
2026-09-11T17:23:34.308+00:00,153.682,153.686,0.004,5
2026-09-11T17:23:34.509+00:00,153.683,153.684,0.001,5
2026-09-11T17:23:34.709+00:00,153.684,153.687,0.003,5
2026-09-11T17:23:34.911+00:00,153.685,153.688,0.003,5
2026-09-11T17:23:35.313+00:00,153.686,153.689,0.003,5
2026-09-11T17:23:35.915+00:00,153.687,153.69,0.003,5
2026-09-11T17:23:38.212+00:00,153.686,153.689,0.003,5
2026-09-11T17:23:38.813+00:00,153.687,153.69,0.003,5
2026-09-11T17:23:42.192+00:00,153.685,153.687,0.002,6
2026-09-11T17:23:42.394+00:00,153.683,153.686,0.003,6
2026-09-11T17:23:42.591+00:00,153.681,153.684,0.003,6
2026-09-11T17:23:42.793+00:00,153.678,153.68,0.002,6
2026-09-11T17:23:42.990+00:00,153.676,153.678,0.002,6
2026-09-11T17:23:43.193+00:00,153.677,153.68,0.003,6
2026-09-11T17:23:43.996+00:00,153.676,153.679,0.003,6
2026-09-11T17:23:44.395+00:00,153.678,153.681,0.003,6
2026-09-11T17:23:44.596+00:00,153.679,153.682,0.003,6
2026-09-11T17:23:44.997+00:00,153.681,153.684,0.003,6
2026-09-11T17:23:45.197+00:00,153.683,153.686,0.003,6
2026-09-11T17:23:45.802+00:00,153.683,153.687,0.004,6
2026-09-11T17:23:46.000+00:00,153.683,153.686,0.003,6
2026-09-11T17:23:49.060+00:00,153.684,153.685,0.001,6
2026-09-11T17:23:49.261+00:00,153.683,153.686,0.003,6
2026-09-11T17:23:49.862+00:00,153.684,153.687,0.003,6
2026-09-11T17:23:50.467+00:00,153.683,153.686,0.003,6
2026-09-11T17:23:51.065+00:00,153.683,153.684,0.001,6
2026-09-11T17:23:51.267+00:00,153.682,153.685,0.003,6
2026-09-11T17:23:51.868+00:00,153.681,153.684,0.003,6
2026-09-11T17:23:52.068+00:00,153.682,153.685,0.003,6
2026-09-11T17:23:52.470+00:00,153.681,153.684,0.003,6
2026-09-11T17:23:53.273+00:00,153.682,153.685,0.003,6
2026-09-11T17:23:53.968+00:00,153.681,153.684,0.003,6
2026-09-11T17:23:54.368+00:00,153.68,153.683,0.003,6
2026-09-11T17:23:54.969+00:00,153.681,153.684,0.003,6
2026-09-11T17:23:55.372+00:00,153.682,153.685,0.003,6
2026-09-11T17:23:55.773+00:00,153.68,153.683,0.003,6
2026-09-11T17:23:55.976+00:00,153.681,153.684,0.003,6
2026-09-11T17:23:56.382+00:00,153.682,153.685,0.003,6
2026-09-11T17:23:56.777+00:00,153.683,153.686,0.003,6
2026-09-11T17:23:57.828+00:00,153.682,153.685,0.003,6
2026-09-11T17:23:58.029+00:00,153.683,153.686,0.003,6
2026-09-11T17:23:58.432+00:00,153.682,153.685,0.003,6
2026-09-11T17:23:59.587+00:00,153.681,153.684,0.003,6
2026-09-11T17:23:59.786+00:00,153.682,153.685,0.003,6
2026-09-11T17:23:59.986+00:00,153.681,153.684,0.003,6
2026-09-11T17:24:00.782+00:00,153.679,153.682,0.003,6
2026-09-11T17:24:00.984+00:00,153.681,153.684,0.003,6
2026-09-11T17:24:01.387+00:00,153.68,153.683,0.003,6
2026-09-11T17:24:02.699+00:00,153.679,153.682,0.003,6
2026-09-11T17:24:02.897+00:00,153.677,153.683,0.006,6
2026-09-11T17:24:03.099+00:00,153.678,153.684,0.006,6
2026-09-11T17:24:03.497+00:00,153.679,153.68,0.001,6
2026-09-11T17:24:03.697+00:00,153.678,153.681,0.003,6
2026-09-11T17:24:04.099+00:00,153.677,153.681,0.004,6
2026-09-11T17:24:04.298+00:00,153.676,153.68,0.004,6
2026-09-11T17:24:04.502+00:00,153.676,153.679,0.003,6
