ts_recv_utc,bid,ask,spread,msg_seq
2026-09-11T17:22:50.427+00:00,4367.34,4367.44,0.1,4
2026-09-11T17:22:50.742+00:00,4367.33,4367.42,0.09,4
2026-09-11T17:22:51.060+00:00,4367.39,4367.47,0.08,4
2026-09-11T17:22:51.386+00:00,4367.41,4367.49,0.08,4
2026-09-11T17:22:51.611+00:00,4367.47,4367.55,0.08,4
2026-09-11T17:22:51.989+00:00,4367.46,4367.54,0.08,4
2026-09-11T17:22:52.709+00:00,4367.44,4367.52,0.08,4
2026-09-11T17:22:52.940+00:00,4367.62,4367.7,0.08,4
2026-09-11T17:22:53.307+00:00,4367.3,4367.38,0.08,4
2026-09-11T17:22:53.534+00:00,4367.32,4367.4,0.08,4
2026-09-11T17:22:53.758+00:00,4367.31,4367.39,0.08,4
2026-09-11T17:22:54.060+00:00,4367.33,4367.41,0.08,4
2026-09-11T17:22:54.660+00:00,4367.31,4367.39,0.08,4
2026-09-11T17:22:55.227+00:00,4367.55,4367.63,0.08,4
2026-09-11T17:22:55.452+00:00,4367.16,4367.24,0.08,4
2026-09-11T17:22:55.677+00:00,4367.1,4367.18,0.08,4
2026-09-11T17:22:55.900+00:00,4367.17,4367.25,0.08,4
2026-09-11T17:22:56.130+00:00,4367.16,4367.24,0.08,4
2026-09-11T17:22:56.352+00:00,4367.13,4367.21,0.08,4
2026-09-11T17:22:56.580+00:00,4367.07,4367.16,0.09,4
2026-09-11T17:22:56.803+00:00,4366.91,4366.99,0.08,4
2026-09-11T17:22:57.253+00:00,4366.78,4366.86,0.08,4
2026-09-11T17:22:57.477+00:00,4366.87,4366.95,0.08,4
2026-09-11T17:22:57.740+00:00,4366.86,4366.94,0.08,4
2026-09-11T17:22:58.150+00:00,4366.91,4366.99,0.08,4
2026-09-11T17:22:58.448+00:00,4366.97,4367.05,0.08,4
2026-09-11T17:22:58.673+00:00,4366.94,4367.02,0.08,4
2026-09-11T17:22:58.898+00:00,4366.93,4367.03,0.1,4
2026-09-11T17:22:59.125+00:00,4366.8,4366.9,0.1,4
2026-09-11T17:22:59.351+00:00,4366.85,4366.95,0.1,4
2026-09-11T17:22:59.576+00:00,4366.83,4366.92,0.09,4
2026-09-11T17:22:59.803+00:00,4366.82,4366.92,0.1,4
2026-09-11T17:23:00.026+00:00,4366.8,4366.88,0.08,4
2026-09-11T17:23:00.401+00:00,4366.83,4366.91,0.08,4
2026-09-11T17:23:00.625+00:00,4366.64,4366.74,0.1,4
2026-09-11T17:23:00.852+00:00,4366.43,4366.53,0.1,4
2026-09-11T17:23:01.152+00:00,4366.22,4366.32,0.1,4
2026-09-11T17:23:01.378+00:00,4366.43,4366.53,0.1,4
2026-09-11T17:23:02.202+00:00,4366.48,4366.58,0.1,4
2026-09-11T17:23:02.427+00:00,4366.49,4366.59,0.1,4
2026-09-11T17:23:02.726+00:00,4366.52,4366.63,0.11,4
2026-09-11T17:23:02.959+00:00,4366.52,4366.61,0.09,4
2026-09-11T17:23:03.187+00:00,4366.48,4366.57,0.09,4
2026-09-11T17:23:03.409+00:00,4366.49,4366.59,0.1,4
2026-09-11T17:23:04.311+00:00,4366.21,4366.3,0.09,4
2026-09-11T17:23:04.536+00:00,4366.03,4366.11,0.08,4
2026-09-11T17:23:04.740+00:00,4365.95,4366.03,0.08,4
2026-09-11T17:23:05.061+00:00,4365.99,4366.07,0.08,4
2026-09-11T17:23:05.360+00:00,4365.94,4366.02,0.08,4
2026-09-11T17:23:05.587+00:00,4365.95,4366.03,0.08,4
2026-09-11T17:23:06.186+00:00,4365.88,4365.96,0.08,4
2026-09-11T17:23:06.952+00:00,4365.71,4365.79,0.08,4
2026-09-11T17:23:07.202+00:00,4365.7,4365.78,0.08,4
2026-09-11T17:23:07.694+00:00,4365.74,4365.83,0.09,4
2026-09-11T17:23:07.995+00:00,4365.77,4365.86,0.09,4
2026-09-11T17:23:08.219+00:00,4365.87,4365.96,0.09,4
2026-09-11T17:23:08.647+00:00,4366.15,4366.24,0.09,4
2026-09-11T17:23:08.868+00:00,4365.87,4365.96,0.09,4
2026-09-11T17:23:09.094+00:00,4366.21,4366.29,0.08,4
2026-09-11T17:23:09.320+00:00,4366.23,4366.31,0.08,4
2026-09-11T17:23:09.545+00:00,4366.22,4366.3,0.08,4
2026-09-11T17:23:09.762+00:00,4366.21,4366.32,0.11,4
2026-09-11T17:23:10.136+00:00,4366.16,4366.24,0.08,4
2026-09-11T17:23:10.360+00:00,4366.01,4366.09,0.08,4
2026-09-11T17:23:10.586+00:00,4366.23,4366.31,0.08,4
2026-09-11T17:23:10.810+00:00,4366.23,4366.33,0.1,4
2026-09-11T17:23:11.218+00:00,4366.2,4366.31,0.11,4
2026-09-11T17:23:11.649+00:00,4366.17,4366.25,0.08,4
2026-09-11T17:23:11.897+00:00,4366.27,4366.35,0.08,4
2026-09-11T17:23:12.123+00:00,4366.18,4366.27,0.09,4
2026-09-11T17:23:12.741+00:00,4366.18,4366.28,0.1,4
